NCRAS_Draw	Stage	Months	OS	CSS	Age
Urothelial Tract	I	45	0	0.8275379943847656	80-84 years
Urothelial Tract	I	48	0	0.7672226715087891	80-84 years
Urothelial Tract	I	51	0	0.7548331451416016	80-84 years
Urothelial Tract	I	54	0	0.7745348358154297	80-84 years
Urothelial Tract	I	57	0	0.7450129699707031	80-84 years
Urothelial Tract	I	60	0	0.76599365234375	80-84 years
Urothelial Tract	II	0.9959999620914459	0	0.999	80-84 years
Urothelial Tract	II	2.003999948501587	0	0.999	80-84 years
Urothelial Tract	II	3	0	0.999	80-84 years
Urothelial Tract	II	3.996000051498413	0	0.999	80-84 years
Urothelial Tract	II	5.003999948501587	0	0.9925209045410156	80-84 years
Urothelial Tract	II	6	0	0.9863121032714843	80-84 years
Urothelial Tract	II	9	0	0.9426169586181641	80-84 years
Urothelial Tract	II	12	0	0.9070474243164063	80-84 years
Urothelial Tract	II	15	0	0.8958585357666016	80-84 years
Urothelial Tract	II	18	0	0.8822306060791015	80-84 years
Urothelial Tract	II	21	0	0.8361860656738281	80-84 years
Urothelial Tract	II	24	0	0.850833740234375	80-84 years
Urothelial Tract	II	27	0	0.8490956115722657	80-84 years
Urothelial Tract	II	30	0	0.8464717102050782	80-84 years
Urothelial Tract	II	33	0	0.8174300384521485	80-84 years
Urothelial Tract	II	36	0	0.7844546508789062	80-84 years
Urothelial Tract	II	39	0	0.6905329132080078	80-84 years
Urothelial Tract	II	42	0	0.6755101013183594	80-84 years
Urothelial Tract	II	45	0	0.6568383026123047	80-84 years
Urothelial Tract	II	48	0	0.5912263870239258	80-84 years
Urothelial Tract	II	51	0	0.6068791580200196	80-84 years
Urothelial Tract	II	54	0	0.6232506561279297	80-84 years
Urothelial Tract	II	57	0	0.639943733215332	80-84 years
Urothelial Tract	II	60	0	0.656706314086914	80-84 years
Urothelial Tract	III	0.9959999620914459	0	0.9983262634277343	80-84 years
Urothelial Tract	III	2.003999948501587	0	0.9964306640625	80-84 years
Urothelial Tract	III	3	0	0.9658607482910156	80-84 years
Urothelial Tract	III	3.996000051498413	0	0.9634799957275391	80-84 years
Urothelial Tract	III	5.003999948501587	0	0.9535210418701172	80-84 years
Urothelial Tract	III	6	0	0.9432416534423829	80-84 years
Urothelial Tract	III	9	0	0.8949311065673828	80-84 years
Urothelial Tract	III	12	0	0.8671878051757812	80-84 years
Urothelial Tract	III	15	0	0.8110919189453125	80-84 years
Urothelial Tract	III	18	0	0.7769342041015626	80-84 years
Urothelial Tract	III	21	0	0.6988218688964843	80-84 years
Urothelial Tract	III	24	0	0.6897113037109375	80-84 years
Urothelial Tract	III	27	0	0.6918537139892578	80-84 years
Urothelial Tract	III	30	0	0.7060546875	80-84 years
Urothelial Tract	III	33	0	0.6655864715576172	80-84 years
Urothelial Tract	III	36	0	0.6794857025146485	80-84 years
Urothelial Tract	III	39	0	0.6567569732666015	80-84 years
Urothelial Tract	III	42	0	0.651227798461914	80-84 years
Urothelial Tract	III	45	0	0.6665856170654297	80-84 years
Urothelial Tract	III	48	0	0.6543548583984375	80-84 years
Urothelial Tract	III	51	0	0.6336963272094727	80-84 years
Urothelial Tract	III	54	0	0.650657730102539	80-84 years
Urothelial Tract	III	57	0	0.6205457305908203	80-84 years
Urothelial Tract	III	60	0	0.5863494873046875	80-84 years
Urothelial Tract	IV	0.9959999620914459	0	0.8726585388183594	80-84 years
Urothelial Tract	IV	2.003999948501587	0	0.7570215606689453	80-84 years
Urothelial Tract	IV	3	0	0.645719223022461	80-84 years
Urothelial Tract	IV	3.996000051498413	0	0.5977323532104493	80-84 years
Urothelial Tract	IV	5.003999948501587	0	0.5198300552368164	80-84 years
Urothelial Tract	IV	6	0	0.4850185012817383	80-84 years
Urothelial Tract	IV	9	0	0.34037036895751954	80-84 years
Urothelial Tract	IV	12	0	0.26828039169311524	80-84 years
Urothelial Tract	IV	15	0	0.20203176498413086	80-84 years
Urothelial Tract	IV	18	0	0.1801008415222168	80-84 years
Urothelial Tract	IV	21	0	0.13599186897277832	80-84 years
Urothelial Tract	IV	24	0	0.13855159759521485	80-84 years
Urothelial Tract	IV	27	0	0.13113340377807617	80-84 years
Urothelial Tract	IV	30	0	0.11319744110107421	80-84 years
Urothelial Tract	IV	33	0	0.10291882514953614	80-84 years
Urothelial Tract	IV	36	0	0.07718596458435059	80-84 years
Urothelial Tract	IV	39	0	0.07906739234924316	80-84 years
Urothelial Tract	IV	42	0	0.08099623680114747	80-84 years
Urothelial Tract	IV	45	0	0.08297370910644532	80-84 years
Urothelial Tract	IV	48	0	0.06658993721008301	80-84 years
Urothelial Tract	IV	51	0	0.06837400913238526	80-84 years
Urothelial Tract	IV	54	0	0.07047513008117676	80-84 years
Urothelial Tract	IV	57	0	0.07264081954956055	80-84 years
Urothelial Tract	IV	60	0	0.07487306594848633	80-84 years
Urothelial Tract	Unknown/missing	0.9959999620914459	0	0.9328289794921875	80-84 years
Urothelial Tract	Unknown/missing	2.003999948501587	0	0.8778609466552735	80-84 years
Urothelial Tract	Unknown/missing	3	0	0.842109603881836	80-84 years
Urothelial Tract	Unknown/missing	3.996000051498413	0	0.8016993713378906	80-84 years
Urothelial Tract	Unknown/missing	5.003999948501587	0	0.7672427368164062	80-84 years
Urothelial Tract	Unknown/missing	6	0	0.7425572967529297	80-84 years
Urothelial Tract	Unknown/missing	9	0	0.6718618774414062	80-84 years
Urothelial Tract	Unknown/missing	12	0	0.6267245864868164	80-84 years
Urothelial Tract	Unknown/missing	15	0	0.5561199188232422	80-84 years
Urothelial Tract	Unknown/missing	18	0	0.5191331481933594	80-84 years
Urothelial Tract	Unknown/missing	21	0	0.479083366394043	80-84 years
Urothelial Tract	Unknown/missing	24	0	0.4562992477416992	80-84 years
Urothelial Tract	Unknown/missing	27	0	0.4433631134033203	80-84 years
Urothelial Tract	Unknown/missing	30	0	0.4226898193359375	80-84 years
Urothelial Tract	Unknown/missing	33	0	0.397881965637207	80-84 years
Urothelial Tract	Unknown/missing	36	0	0.3837932586669922	80-84 years
Urothelial Tract	Unknown/missing	39	0	0.3852441024780273	80-84 years
Urothelial Tract	Unknown/missing	42	0	0.37746402740478513	80-84 years
Urothelial Tract	Unknown/missing	45	0	0.3677550506591797	80-84 years
Urothelial Tract	Unknown/missing	48	0	0.3656749725341797	80-84 years
Urothelial Tract	Unknown/missing	51	0	0.37436954498291014	80-84 years
Urothelial Tract	Unknown/missing	54	0	0.35453750610351564	80-84 years
Urothelial Tract	Unknown/missing	57	0	0.36269657135009764	80-84 years
Urothelial Tract	Unknown/missing	60	0	0.3710270690917969	80-84 years
Thyroid	I	0.9959999620914459	0	0.999	80-84 years
Thyroid	I	2.003999948501587	0	0.999	80-84 years
Thyroid	I	3	0	0.999	80-84 years
Thyroid	I	3.996000051498413	0	0.9968424987792969	80-84 years
Thyroid	I	5.003999948501587	0	0.999	80-84 years
Thyroid	I	6	0	0.999	80-84 years
Thyroid	I	9	0	0.999	80-84 years
Thyroid	I	12	0	0.999	80-84 years
Thyroid	I	15	0	0.999	80-84 years
Thyroid	I	18	0	0.999	80-84 years
Thyroid	I	21	0	0.999	80-84 years
Thyroid	I	24	0	0.999	80-84 years
Thyroid	I	27	0	0.999	80-84 years
Thyroid	I	30	0	0.999	80-84 years
Thyroid	I	33	0	0.999	80-84 years
Thyroid	I	36	0	0.999	80-84 years
Thyroid	I	39	0	0.999	80-84 years
Thyroid	I	42	0	0.999	80-84 years
Thyroid	I	45	0	0.999	80-84 years
Thyroid	I	48	0	0.999	80-84 years
Thyroid	I	51	0	0.999	80-84 years
Thyroid	I	54	0	0.999	80-84 years
Thyroid	I	57	0	0.999	80-84 years
Thyroid	I	60	0	0.999	80-84 years
Thyroid	II	0.9959999620914459	0	0.999	80-84 years
Thyroid	II	2.003999948501587	0	0.999	80-84 years
Thyroid	II	3	0	0.9596466064453125	80-84 years
Thyroid	II	3.996000051498413	0	0.9353712463378906	80-84 years
Thyroid	II	5.003999948501587	0	0.9111224365234375	80-84 years
Thyroid	II	6	0	0.915102767944336	80-84 years
Thyroid	II	9	0	0.9272196197509766	80-84 years
Thyroid	II	12	0	0.9394396209716797	80-84 years
Thyroid	II	15	0	0.9533828735351563	80-84 years
Thyroid	II	18	0	0.9675602722167969	80-84 years
Thyroid	II	21	0	0.9818729400634766	80-84 years
Thyroid	II	24	0	0.996514892578125	80-84 years
Thyroid	II	27	0	0.9580733489990234	80-84 years
Thyroid	II	30	0	0.9125785827636719	80-84 years
Thyroid	II	33	0	0.9278873443603516	80-84 years
Thyroid	II	36	0	0.9435700988769531	80-84 years
Thyroid	II	39	0	0.9616279602050781	80-84 years
Thyroid	II	42	0	0.8933762359619141	80-84 years
