Age	NCRAS_Draw	Stage	Months	CSS
16	Urothelial Tract	I	60	0.8533794403076171
17	Urothelial Tract	I	60	0.8533794403076171
18	Urothelial Tract	I	60	0.8533794403076171
19	Urothelial Tract	I	60	0.8533794403076171
20	Urothelial Tract	I	60	0.8533794403076171
21	Urothelial Tract	I	60	0.8533794403076171
22	Urothelial Tract	I	60	0.8533794403076171
23	Urothelial Tract	I	60	0.8533794403076171
24	Urothelial Tract	I	60	0.8533794403076171
25	Urothelial Tract	I	60	0.8533794403076171
26	Urothelial Tract	I	60	0.8533794403076171
27	Urothelial Tract	I	60	0.8533794403076171
28	Urothelial Tract	I	60	0.8533794403076171
29	Urothelial Tract	I	60	0.8533794403076171
30	Urothelial Tract	I	60	0.8533794403076171
31	Urothelial Tract	I	60	0.8533794403076171
32	Urothelial Tract	I	60	0.8533794403076171
33	Urothelial Tract	I	60	0.8533794403076171
34	Urothelial Tract	I	60	0.8533794403076171
35	Urothelial Tract	I	60	0.8533794403076171
36	Urothelial Tract	I	60	0.8533794403076171
37	Urothelial Tract	I	60	0.8533794403076171
38	Urothelial Tract	I	60	0.8533794403076171
39	Urothelial Tract	I	60	0.8533794403076171
40	Urothelial Tract	I	60	0.8533794403076171
41	Urothelial Tract	I	60	0.8533794403076171
42	Urothelial Tract	I	60	0.8533794403076171
43	Urothelial Tract	I	60	0.8644244384765625
44	Urothelial Tract	I	60	0.8865144348144531
45	Urothelial Tract	I	60	0.9086044311523438
46	Urothelial Tract	I	60	0.9306944274902345
47	Urothelial Tract	I	60	0.9527844238281251
48	Urothelial Tract	I	60	0.9403341903686525
49	Urothelial Tract	I	60	0.8933437271118165
50	Urothelial Tract	I	60	0.8463532638549806
51	Urothelial Tract	I	60	0.7993628005981446
52	Urothelial Tract	I	60	0.7523723373413086
53	Urothelial Tract	I	60	0.7500264358520508
54	Urothelial Tract	I	60	0.7923250961303712
55	Urothelial Tract	I	60	0.8346237564086914
56	Urothelial Tract	I	60	0.8769224166870118
57	Urothelial Tract	I	60	0.919221076965332
58	Urothelial Tract	I	60	0.9326784744262695
59	Urothelial Tract	I	60	0.9172946090698242
60	Urothelial Tract	I	60	0.9019107437133789
61	Urothelial Tract	I	60	0.8865268783569336
62	Urothelial Tract	I	60	0.8711430130004882
63	Urothelial Tract	I	60	0.8585925216674805
64	Urothelial Tract	I	60	0.8488754043579101
65	Urothelial Tract	I	60	0.8391582870483398
66	Urothelial Tract	I	60	0.8294411697387696
67	Urothelial Tract	I	60	0.8197240524291992
68	Urothelial Tract	I	60	0.8188212432861328
69	Urothelial Tract	I	60	0.8267327423095703
70	Urothelial Tract	I	60	0.8346442413330077
71	Urothelial Tract	I	60	0.8425557403564453
72	Urothelial Tract	I	60	0.8504672393798828
73	Urothelial Tract	I	60	0.8424795150756835
74	Urothelial Tract	I	60	0.8185925674438477
75	Urothelial Tract	I	60	0.7947056198120117
76	Urothelial Tract	I	60	0.7708186721801757
77	Urothelial Tract	I	60	0.7469317245483399
78	Urothelial Tract	I	60	0.7380887908935547
79	Urothelial Tract	I	60	0.7442898712158204
80	Urothelial Tract	I	60	0.750490951538086
81	Urothelial Tract	I	60	0.7566920318603516
82	Urothelial Tract	I	60	0.7628931121826172
83	Urothelial Tract	I	60	0.76599365234375
84	Urothelial Tract	I	60	0.76599365234375
85	Urothelial Tract	I	60	0.76599365234375
86	Urothelial Tract	I	60	0.76599365234375
87	Urothelial Tract	I	60	0.76599365234375
88	Urothelial Tract	I	60	0.76599365234375
89	Urothelial Tract	I	60	0.76599365234375
90	Urothelial Tract	I	60	0.76599365234375
91	Urothelial Tract	I	60	0.76599365234375
92	Urothelial Tract	I	60	0.76599365234375
93	Urothelial Tract	I	60	0.76599365234375
94	Urothelial Tract	I	60	0.76599365234375
95	Urothelial Tract	I	60	0.76599365234375
96	Urothelial Tract	I	60	0.76599365234375
97	Urothelial Tract	I	60	0.76599365234375
98	Urothelial Tract	I	60	0.76599365234375
99	Urothelial Tract	I	60	0.76599365234375
100	Urothelial Tract	I	60	0.76599365234375
0	Urothelial Tract	II	60	0.8762032318115235
1	Urothelial Tract	II	60	0.8762032318115235
2	Urothelial Tract	II	60	0.8762032318115235
3	Urothelial Tract	II	60	0.8762032318115235
4	Urothelial Tract	II	60	0.8762032318115235
5	Urothelial Tract	II	60	0.8762032318115235
6	Urothelial Tract	II	60	0.8762032318115235
7	Urothelial Tract	II	60	0.8762032318115235
8	Urothelial Tract	II	60	0.8762032318115235
9	Urothelial Tract	II	60	0.8762032318115235
10	Urothelial Tract	II	60	0.8762032318115235
11	Urothelial Tract	II	60	0.8762032318115235
12	Urothelial Tract	II	60	0.8762032318115235
13	Urothelial Tract	II	60	0.8762032318115235
14	Urothelial Tract	II	60	0.8762032318115235
15	Urothelial Tract	II	60	0.8762032318115235
16	Urothelial Tract	II	60	0.8762032318115235
17	Urothelial Tract	II	60	0.8762032318115235
18	Urothelial Tract	II	60	0.8762032318115235
19	Urothelial Tract	II	60	0.8762032318115235
20	Urothelial Tract	II	60	0.8762032318115235
21	Urothelial Tract	II	60	0.8762032318115235
22	Urothelial Tract	II	60	0.8762032318115235
23	Urothelial Tract	II	60	0.8762032318115235
24	Urothelial Tract	II	60	0.8762032318115235
25	Urothelial Tract	II	60	0.8762032318115235
26	Urothelial Tract	II	60	0.8762032318115235
27	Urothelial Tract	II	60	0.8762032318115235
28	Urothelial Tract	II	60	0.8762032318115235
29	Urothelial Tract	II	60	0.8762032318115235
30	Urothelial Tract	II	60	0.8762032318115235
31	Urothelial Tract	II	60	0.8762032318115235
32	Urothelial Tract	II	60	0.8762032318115235
33	Urothelial Tract	II	60	0.8762032318115235
