Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female,Bladder,Unknown/missing,75-79,2,negative,rmst,22.5,1.89 (1.74 to 2.18),1.89,1.74 to 2.18,1.74,2.18,(1.74 to 2.18)
Female,Bladder,Unknown/missing,75-79,2,positive,rmst,22.5,1.88 (1.86 to 1.94),1.88,1.86 to 1.94,1.86,1.94,(1.86 to 1.94)
Male,Bladder,I,50-54,1,negative,rmst,47.5,2.89 (2.71 to 3.51),2.89,2.71 to 3.51,2.71,3.51,(2.71 to 3.51)
Male,Bladder,I,50-54,2,negative,rmst,47.5,2.91 (2.73 to 3.12),2.91,2.73 to 3.12,2.73,3.12,(2.73 to 3.12)
Male,Bladder,I,50-54,2,positive,rmst,47.5,2.85 (2.76 to 4.64),2.85,2.76 to 4.64,2.76,4.64,(2.76 to 4.64)
Male,Bladder,I,55-59,1,negative,rmst,42.5,2.9 (2.56 to 2.96),2.9,2.56 to 2.96,2.56,2.96,(2.56 to 2.96)
Male,Bladder,I,55-59,2,negative,rmst,42.5,2.93 (2.66 to 3.15),2.93,2.66 to 3.15,2.66,3.15,(2.66 to 3.15)
Male,Bladder,I,55-59,2,positive,rmst,42.5,2.89 (2.85 to 3.03),2.89,2.85 to 3.03,2.85,3.03,(2.85 to 3.03)
Male,Bladder,I,60-64,1,negative,rmst,37.5,3.11 (2.92 to 3.18),3.11,2.92 to 3.18,2.92,3.18,(2.92 to 3.18)
Male,Bladder,I,60-64,2,negative,rmst,37.5,3.1 (3.01 to 3.16),3.1,3.01 to 3.16,3.01,3.16,(3.01 to 3.16)
Male,Bladder,I,60-64,2,positive,rmst,37.5,3.1 (3.01 to 3.19),3.1,3.01 to 3.19,3.01,3.19,(3.01 to 3.19)
Male,Bladder,I,65-69,1,negative,rmst,32.5,2.77 (2.65 to 2.81),2.77,2.65 to 2.81,2.65,2.81,(2.65 to 2.81)
Male,Bladder,I,65-69,2,negative,rmst,32.5,2.84 (2.8 to 2.9),2.84,2.8 to 2.9,2.8,2.9,(2.8 to 2.9)
Male,Bladder,I,65-69,2,positive,rmst,32.5,2.85 (2.81 to 2.91),2.85,2.81 to 2.91,2.81,2.91,(2.81 to 2.91)
Male,Bladder,I,70-74,1,negative,rmst,27.5,2.65 (2.55 to 2.73),2.65,2.55 to 2.73,2.55,2.73,(2.55 to 2.73)
Male,Bladder,I,70-74,2,negative,rmst,27.5,2.66 (2.64 to 2.71),2.66,2.64 to 2.71,2.64,2.71,(2.64 to 2.71)
Male,Bladder,I,70-74,2,positive,rmst,27.5,2.64 (2.55 to 2.71),2.64,2.55 to 2.71,2.55,2.71,(2.55 to 2.71)
Male,Bladder,I,75-79,1,negative,rmst,22.5,2.57 (2.17 to 2.64),2.57,2.17 to 2.64,2.17,2.64,(2.17 to 2.64)
Male,Bladder,I,75-79,2,negative,rmst,22.5,2.62 (2.48 to 2.65),2.62,2.48 to 2.65,2.48,2.65,(2.48 to 2.65)
Male,Bladder,I,75-79,2,positive,rmst,22.5,2.61 (2.55 to 2.68),2.61,2.55 to 2.68,2.55,2.68,(2.55 to 2.68)
Male,Bladder,II,50-54,1,negative,rmst,47.5,2.23 (1.7 to 2.38),2.23,1.7 to 2.38,1.7,2.38,(1.7 to 2.38)
Male,Bladder,II,50-54,2,negative,rmst,47.5,2.24 (2.13 to 2.38),2.24,2.13 to 2.38,2.13,2.38,(2.13 to 2.38)
Male,Bladder,II,50-54,2,positive,rmst,47.5,2.13 (2.03 to 2.4),2.13,2.03 to 2.4,2.03,2.4,(2.03 to 2.4)
Male,Bladder,II,55-59,1,negative,rmst,42.5,2.29 (2.26 to 2.41),2.29,2.26 to 2.41,2.26,2.41,(2.26 to 2.41)
Male,Bladder,II,55-59,2,negative,rmst,42.5,2.22 (1.84 to 2.43),2.22,1.84 to 2.43,1.84,2.43,(1.84 to 2.43)
Male,Bladder,II,55-59,2,positive,rmst,42.5,2.25 (2.13 to 2.59),2.25,2.13 to 2.59,2.13,2.59,(2.13 to 2.59)
Male,Bladder,II,60-64,1,negative,rmst,37.5,2.27 (2.19 to 2.37),2.27,2.19 to 2.37,2.19,2.37,(2.19 to 2.37)
Male,Bladder,II,60-64,2,negative,rmst,37.5,2.29 (2.26 to 2.49),2.29,2.26 to 2.49,2.26,2.49,(2.26 to 2.49)
Male,Bladder,II,60-64,2,positive,rmst,37.5,2.19 (2.18 to 2.33),2.19,2.18 to 2.33,2.18,2.33,(2.18 to 2.33)
Male,Bladder,II,65-69,1,negative,rmst,32.5,2.18 (2.16 to 2.2),2.18,2.16 to 2.2,2.16,2.2,(2.16 to 2.2)
Male,Bladder,II,65-69,2,negative,rmst,32.5,2.19 (2.17 to 2.24),2.19,2.17 to 2.24,2.17,2.24,(2.17 to 2.24)
Male,Bladder,II,65-69,2,positive,rmst,32.5,2.2 (2.19 to 2.28),2.2,2.19 to 2.28,2.19,2.28,(2.19 to 2.28)
Male,Bladder,II,70-74,1,negative,rmst,27.5,2.02 (1.92 to 2.09),2.02,1.92 to 2.09,1.92,2.09,(1.92 to 2.09)
Male,Bladder,II,70-74,2,negative,rmst,27.5,2 (1.95 to 2.09),2,1.95 to 2.09,1.95,2.09,(1.95 to 2.09)
Male,Bladder,II,70-74,2,positive,rmst,27.5,2.05 (2.05 to 2.1),2.05,2.05 to 2.1,2.05,2.1,(2.05 to 2.1)
Male,Bladder,II,75-79,1,negative,rmst,22.5,1.76 (1.72 to 1.88),1.76,1.72 to 1.88,1.72,1.88,(1.72 to 1.88)
Male,Bladder,II,75-79,2,negative,rmst,22.5,1.76 (1.75 to 1.81),1.76,1.75 to 1.81,1.75,1.81,(1.75 to 1.81)
Male,Bladder,II,75-79,2,positive,rmst,22.5,1.76 (1.39 to 1.79),1.76,1.39 to 1.79,1.39,1.79,(1.39 to 1.79)
Male,Bladder,III,50-54,1,negative,rmst,47.5,1.83 (1.44 to 2.11),1.83,1.44 to 2.11,1.44,2.11,(1.44 to 2.11)
Male,Bladder,III,50-54,2,negative,rmst,47.5,1.96 (1.78 to 2.72),1.96,1.78 to 2.72,1.78,2.72,(1.78 to 2.72)
Male,Bladder,III,50-54,2,positive,rmst,47.5,2.2 (1.69 to 3.13),2.2,1.69 to 3.13,1.69,3.13,(1.69 to 3.13)
Male,Bladder,III,55-59,1,negative,rmst,42.5,2.14 (2.07 to 3.17),2.14,2.07 to 3.17,2.07,3.17,(2.07 to 3.17)
Male,Bladder,III,55-59,2,negative,rmst,42.5,2.44 (2.02 to 2.6),2.44,2.02 to 2.6,2.02,2.6,(2.02 to 2.6)
Male,Bladder,III,55-59,2,positive,rmst,42.5,2.24 (1.93 to 2.33),2.24,1.93 to 2.33,1.93,2.33,(1.93 to 2.33)
Male,Bladder,III,60-64,1,negative,rmst,37.5,1.9 (1.88 to 1.99),1.9,1.88 to 1.99,1.88,1.99,(1.88 to 1.99)
Male,Bladder,III,60-64,2,negative,rmst,37.5,1.78 (1.64 to 1.93),1.78,1.64 to 1.93,1.64,1.93,(1.64 to 1.93)
Male,Bladder,III,60-64,2,positive,rmst,37.5,1.79 (1.38 to 2.35),1.79,1.38 to 2.35,1.38,2.35,(1.38 to 2.35)
Male,Bladder,III,65-69,1,negative,rmst,32.5,2.05 (1.91 to 2.09),2.05,1.91 to 2.09,1.91,2.09,(1.91 to 2.09)
Male,Bladder,III,65-69,2,negative,rmst,32.5,1.91 (1.47 to 2.08),1.91,1.47 to 2.08,1.47,2.08,(1.47 to 2.08)
Male,Bladder,III,65-69,2,positive,rmst,32.5,2.11 (2 to 2.21),2.11,2 to 2.21,2,2.21,(2 to 2.21)
Male,Bladder,III,70-74,1,negative,rmst,27.5,1.61 (1.58 to 1.65),1.61,1.58 to 1.65,1.58,1.65,(1.58 to 1.65)
